Date,Transaction Type,Loan,Amount,Balance,Contract,Cash Flow,Date Value
22/08/2022 14:36:18,Deposit,,"£2,500.00","£2,500.00",,,22/08/2022
30/09/2022 09:46:37,Auction completion,Apus (Grendon) Ltd - Drawdown 3,-£100.00,"£2,400.00",,,30/09/2022
06/10/2022 13:20:39,Auction completion,Airshack Projects Ltd – Drawdown 3,-£100.00,"£2,300.00",,,06/10/2022
11/10/2022 08:23:11,Auction completion,The Old Grain Store (Maidstone) Limited – Drawdown 4,-£100.00,"£2,200.00",,,11/10/2022
11/10/2022 09:26:35,Auction completion,B K Westward Limited – Drawdown 11,-£100.00,"£2,100.00",,,11/10/2022
11/10/2022 09:52:22,Auction completion,BK Grove Limited – Drawdown 9,-£100.00,"£2,000.00",,,11/10/2022
11/10/2022 10:47:57,Auction completion,AH2 Ogwen Hall Limited - Drawdown 2,-£100.00,"£1,900.00",,,11/10/2022
14/10/2022 09:37:26,Auction completion,Airshack Projects 359 Limited – Drawdown 3,-£100.00,"£1,800.00",,,14/10/2022
14/10/2022 12:34:06,Auction completion,Wold Top Developments Limited - Drawdown 4,-£150.00,"£1,650.00",,,14/10/2022
31/10/2022 09:48:13,Auction completion,Rainworth Developments 2021 Limited (1) – Drawdown 8,-£200.00,"£1,450.00",,,31/10/2022
02/11/2022 09:36:45,Auction completion,MMS Developments Ltd – Drawdown 6,-£200.00,"£1,250.00",,,02/11/2022
02/11/2022 09:54:33,Auction completion,Apus (Grendon) Ltd - Drawdown 4,-£100.00,"£1,150.00",,,02/11/2022
03/11/2022 08:39:56,Auction completion,Aspire Designer Homes (Medway) Ltd – Drawdown 4,-£250.00,£900.00,,,03/11/2022
10/11/2022 09:33:27,Auction completion,The Old Grain Store (Maidstone) Limited – Drawdown 5,-£150.00,£750.00,,,10/11/2022
11/11/2022 09:21:17,Auction completion,Wren Homes and Developments Ltd – Drawdown 3,-£250.00,£500.00,,,11/11/2022
11/11/2022 09:42:22,Auction completion,Gallypot Woods Development Limited - Drawdown 6,-£200.00,£300.00,,,11/11/2022
11/11/2022 10:11:25,Auction completion,Badminton Developments Limited – Drawdown 3,-£250.00,£50.00,,,11/11/2022
29/12/2022 11:52:56,I and F fee,B K Westward Limited – Drawdown 11,-£0.16,£151.31,,,29/12/2022
29/12/2022 11:52:56,Loan Repayment,B K Westward Limited – Drawdown 11,£100.00,£151.47,,,29/12/2022
29/12/2022 11:52:56,Loan Repayment Interest,B K Westward Limited – Drawdown 11,£1.47,£51.47,,,29/12/2022
18/01/2023 10:13:39,Auction completion,Skylark Build Ltd - Drawdown 9,-£150.00,£1.31,,,18/01/2023
16/02/2023 16:45:23,Loan Repayment Interest,Badminton Developments Limited – Drawdown 3 Ref: 212253,£4.77,£255.58,,,16/02/2023
16/02/2023 16:45:23,I and F fee,Badminton Developments Limited – Drawdown 3,-£0.50,£250.81,,,16/02/2023
16/02/2023 16:45:23,Loan Repayment,Badminton Developments Limited – Drawdown 3 Ref: 212253,£250.00,£251.31,,,16/02/2023
17/02/2023 10:28:58,Auction completion,SNV Construction Limited – Drawdown 14,-£250.00,£5.58,,,17/02/2023
15/05/2023 14:53:47,I and F fee,BK Grove Limited – Drawdown 9,-£0.46,£109.19,,,15/05/2023
15/05/2023 14:53:47,Loan Repayment,BK Grove Limited – Drawdown 9,£100.00,£109.65,,,15/05/2023
15/05/2023 14:53:47,Loan Repayment Interest,BK Grove Limited – Drawdown 9,£4.07,£9.65,,,15/05/2023
17/05/2023 15:03:58,Auction completion,Hawfinch Homes Limited – Drawdown 8,-£100.00,£9.19,,,17/05/2023
20/06/2023 10:45:56,I and F fee,Airshack Projects Ltd – Drawdown 3,-£0.55,£113.65,,,20/06/2023
20/06/2023 10:45:56,Loan Repayment,Airshack Projects Ltd – Drawdown 3,£100.00,£114.20,,,20/06/2023
20/06/2023 10:45:56,Loan Repayment Interest,Airshack Projects Ltd – Drawdown 3,£5.01,£14.20,,,20/06/2023
20/06/2023 14:23:45,Auction completion,Airshack Projects Ltd (2) – Drawdown 1,-£100.00,£13.65,,,20/06/2023
21/06/2023 15:34:13,I and F fee,SNV Construction Limited – Drawdown 14,-£0.65,£268.57,,,21/06/2023
21/06/2023 15:34:13,Loan Repayment,SNV Construction Limited – Drawdown 14,£250.00,£269.22,,,21/06/2023
21/06/2023 15:34:13,Loan Repayment Interest,SNV Construction Limited – Drawdown 14,£5.57,£19.22,,,21/06/2023
22/06/2023 08:06:29,Auction completion,SNV Construction Limited (2) – Drawdown 1,-£250.00,£18.57,,,22/06/2023
22/06/2023 10:01:06,Loan Repayment Interest,Rainworth Developments 2021 Limited (1) – Drawdown 8,£8.75,£27.32,,,22/06/2023
22/06/2023 10:01:07,I and F fee,Rainworth Developments 2021 Limited (1) – Drawdown 8,-£1.00,£226.32,,,22/06/2023
22/06/2023 10:01:07,Loan Repayment,Rainworth Developments 2021 Limited (1) – Drawdown 8,£200.00,£227.32,,,22/06/2023
22/06/2023 13:59:30,Auction completion,Rainworth Developments 2021 Limited (3) – Drawdown 1,-£200.00,£26.32,,,22/06/2023
24/07/2023 10:23:12,I and F fee,Airshack Projects 359 Limited – Drawdown 3,-£0.61,£131.39,,,24/07/2023
24/07/2023 10:23:12,Loan Repayment,Airshack Projects 359 Limited – Drawdown 3,£100.00,£132.00,,,24/07/2023
24/07/2023 10:23:12,Loan Repayment Interest,Airshack Projects 359 Limited – Drawdown 3,£5.68,£32.00,,,24/07/2023
24/07/2023 13:03:17,Auction completion,Airshack Projects 359 Limited (2) – Drawdown 1,-£100.00,£31.39,,,24/07/2023
03/08/2023 11:16:43,I and F fee,AH2 Ogwen Hall Limited - Drawdown 2,-£0.16,£57.78,,,03/08/2023
03/08/2023 11:16:43,Loan Repayment,AH2 Ogwen Hall Limited - Drawdown 2,£25.06,£57.94,,,03/08/2023
03/08/2023 11:16:43,Loan Repayment Interest,AH2 Ogwen Hall Limited - Drawdown 2,£1.49,£32.88,,,03/08/2023
07/08/2023 13:58:39,I and F fee,AH2 Ogwen Hall Limited - Drawdown 2,-£0.29,£105.75,,,07/08/2023
07/08/2023 13:58:39,Loan Repayment,AH2 Ogwen Hall Limited - Drawdown 2,£45.54,£106.04,,,07/08/2023
07/08/2023 13:58:39,Loan Repayment Interest,AH2 Ogwen Hall Limited - Drawdown 2,£2.72,£60.50,,,07/08/2023
08/08/2023 11:23:55,Auction completion,Skylark Build Ltd - Drawdown 17,-£100.00,£5.75,,,08/08/2023
09/08/2023 10:05:49,I and F fee,MMS Developments Ltd – Drawdown 6,-£0.15,£33.16,,,09/08/2023
09/08/2023 10:05:49,Loan Repayment,MMS Developments Ltd – Drawdown 6,£26.19,£33.31,,,09/08/2023
09/08/2023 10:05:49,Loan Repayment Interest,MMS Developments Ltd – Drawdown 6,£1.37,£7.12,,,09/08/2023
11/08/2023 08:55:14,I and F fee,AH2 Ogwen Hall Limited - Drawdown 2,-£0.19,£64.17,,,11/08/2023
11/08/2023 08:55:14,Loan Repayment,AH2 Ogwen Hall Limited - Drawdown 2,£29.40,£64.36,,,11/08/2023
11/08/2023 08:55:14,Loan Repayment Interest,AH2 Ogwen Hall Limited - Drawdown 2,£1.80,£34.96,,,11/08/2023
30/08/2023 12:38:06,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.03,£72.05,,,30/08/2023
30/08/2023 12:38:06,Loan Repayment,Skylark Build Ltd - Drawdown 9,£7.58,£72.08,,,30/08/2023
30/08/2023 12:38:06,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.33,£64.50,,,30/08/2023
30/08/2023 12:45:22,Loan Repayment,Skylark Build Ltd - Drawdown 17,£5.05,£77.12,,,30/08/2023
30/08/2023 12:45:22,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.02,£72.07,,,30/08/2023
31/08/2023 15:12:15,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.03,£85.60,,,31/08/2023
31/08/2023 15:12:15,Loan Repayment,Skylark Build Ltd - Drawdown 9,£8.16,£85.63,,,31/08/2023
31/08/2023 15:12:15,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.35,£77.47,,,31/08/2023
31/08/2023 15:20:09,Loan Repayment,Skylark Build Ltd - Drawdown 17,£5.44,£91.06,,,31/08/2023
31/08/2023 15:20:09,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.02,£85.62,,,31/08/2023
01/09/2023 16:05:50,I and F fee,Wold Top Developments Limited - Drawdown 4,-£0.42,£154.23,,,01/09/2023
01/09/2023 16:05:50,Loan Repayment,Wold Top Developments Limited - Drawdown 4,£59.92,£154.65,,,01/09/2023
01/09/2023 16:05:50,Loan Repayment Interest,Wold Top Developments Limited - Drawdown 4,£3.67,£94.73,,,01/09/2023
06/09/2023 20:01:59,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.06,£166.92,,,06/09/2023
06/09/2023 20:01:59,Loan Repayment,Skylark Build Ltd - Drawdown 9,£12.21,£166.98,,,06/09/2023
06/09/2023 20:01:59,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.54,£154.77,,,06/09/2023
06/09/2023 20:11:16,Loan Repayment,Skylark Build Ltd - Drawdown 17,£8.14,£175.10,,,06/09/2023
06/09/2023 20:11:16,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.04,£166.96,,,06/09/2023
07/09/2023 15:11:38,Auction completion,NRP Diggle Ltd (3) – Drawdown 1,-£150.00,£25.10,,,07/09/2023
11/09/2023 11:38:02,I and F fee,Apus (Grendon) Ltd - Drawdown 3,-£0.33,£72.63,,,11/09/2023
11/09/2023 11:38:02,Loan Repayment,Apus (Grendon) Ltd - Drawdown 3,£44.61,£72.96,,,11/09/2023
11/09/2023 11:38:02,Loan Repayment Interest,Apus (Grendon) Ltd - Drawdown 3,£3.25,£28.35,,,11/09/2023
11/09/2023 11:39:12,I and F fee,Apus (Grendon) Ltd - Drawdown 4,-£0.30,£119.86,,,11/09/2023
11/09/2023 11:39:12,Loan Repayment,Apus (Grendon) Ltd - Drawdown 4,£44.61,£120.16,,,11/09/2023
11/09/2023 11:39:12,Loan Repayment Interest,Apus (Grendon) Ltd - Drawdown 4,£2.92,£75.55,,,11/09/2023
12/09/2023 15:46:24,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.03,£127.59,,,12/09/2023
12/09/2023 15:46:24,Loan Repayment,Skylark Build Ltd - Drawdown 9,£7.42,£127.62,,,12/09/2023
12/09/2023 15:46:24,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.34,£120.20,,,12/09/2023
12/09/2023 15:58:48,Loan Repayment,Skylark Build Ltd - Drawdown 17,£4.94,£132.56,,,12/09/2023
12/09/2023 15:58:48,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.03,£127.62,,,12/09/2023
13/09/2023 09:48:27,Auction completion,Beaumaris Road Limited - Drawdown 9,-£100.00,£32.56,,,13/09/2023
15/09/2023 15:27:18,I and F fee,Apus (Grendon) Ltd - Drawdown 3,-£0.36,£82.69,,,15/09/2023
15/09/2023 15:27:18,Loan Repayment,Apus (Grendon) Ltd - Drawdown 3,£47.00,£83.05,,,15/09/2023
15/09/2023 15:27:18,Loan Repayment Interest,Apus (Grendon) Ltd - Drawdown 3,£3.49,£36.05,,,15/09/2023
15/09/2023 15:29:09,Loan Repayment Interest,Apus (Grendon) Ltd - Drawdown 4,£3.15,£85.84,,,15/09/2023
15/09/2023 15:29:10,I and F fee,Apus (Grendon) Ltd - Drawdown 4,-£0.32,£132.52,,,15/09/2023
15/09/2023 15:29:10,Loan Repayment,Apus (Grendon) Ltd - Drawdown 4,£47.00,£132.84,,,15/09/2023
20/09/2023 14:30:44,I and F fee,Airshack Projects Ltd (2) – Drawdown 1,-£0.19,£234.29,,,20/09/2023
20/09/2023 14:30:44,Loan Repayment,Airshack Projects Ltd (2) – Drawdown 1,£100.00,£234.48,,,20/09/2023
20/09/2023 14:30:44,Loan Repayment Interest,Airshack Projects Ltd (2) – Drawdown 1,£1.96,£134.48,,,20/09/2023
26/09/2023 09:10:47,Auction completion,Gable Construction (Southern) Limited – Drawdown 6,-£100.00,£134.29,,,26/09/2023
27/09/2023 09:45:17,I and F fee,Beaumaris Road Limited - Drawdown 9,-£0.02,£234.53,,,27/09/2023
27/09/2023 09:45:17,Loan Repayment,Beaumaris Road Limited - Drawdown 9,£100.00,£234.55,,,27/09/2023
27/09/2023 09:45:17,Loan Repayment Interest,Beaumaris Road Limited - Drawdown 9,£0.26,£134.55,,,27/09/2023
27/09/2023 11:29:33,Auction completion,Beaumaris Road Limited (2) – Drawdown 1,-£200.00,£34.53,,,27/09/2023
28/09/2023 11:48:33,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.06,£46.95,,,28/09/2023
28/09/2023 11:48:33,Loan Repayment,Skylark Build Ltd - Drawdown 9,£11.90,£47.01,,,28/09/2023
28/09/2023 11:48:33,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.58,£35.11,,,28/09/2023
28/09/2023 12:04:11,Loan Repayment,Skylark Build Ltd - Drawdown 17,£7.94,£54.97,,,28/09/2023
28/09/2023 12:04:11,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.08,£47.03,,,28/09/2023
29/09/2023 15:08:49,I and F fee,Aspire Designer Homes (Medway) Ltd – Drawdown 4,-£0.37,£109.56,,,29/09/2023
29/09/2023 15:08:49,Loan Repayment,Aspire Designer Homes (Medway) Ltd – Drawdown 4,£51.60,£109.93,,,29/09/2023
29/09/2023 15:08:49,Loan Repayment Interest,Aspire Designer Homes (Medway) Ltd – Drawdown 4,£3.36,£58.33,,,29/09/2023
29/09/2023 15:35:07,I and F fee,Apus (Grendon) Ltd - Drawdown 3,-£0.06,£118.54,,,29/09/2023
29/09/2023 15:35:07,Loan Repayment,Apus (Grendon) Ltd - Drawdown 3,£8.39,£118.60,,,29/09/2023
29/09/2023 15:35:07,Loan Repayment Interest,Apus (Grendon) Ltd - Drawdown 3,£0.65,£110.21,,,29/09/2023
29/09/2023 15:38:14,I and F fee,Apus (Grendon) Ltd - Drawdown 4,-£0.06,£127.46,,,29/09/2023
29/09/2023 15:38:14,Loan Repayment,Apus (Grendon) Ltd - Drawdown 4,£8.39,£127.52,,,29/09/2023
29/09/2023 15:38:14,Loan Repayment Interest,Apus (Grendon) Ltd - Drawdown 4,£0.59,£119.13,,,29/09/2023
03/10/2023 14:18:42,I and F fee,MMS Developments Ltd – Drawdown 6,-£0.24,£163.10,,,03/10/2023
03/10/2023 14:18:42,Loan Repayment,MMS Developments Ltd – Drawdown 6,£33.76,£163.34,,,03/10/2023
03/10/2023 14:18:42,Loan Repayment Interest,MMS Developments Ltd – Drawdown 6,£2.12,£129.58,,,03/10/2023
06/10/2023 14:28:07,I and F fee,MMS Developments Ltd – Drawdown 6,-£1.03,£310.99,,,06/10/2023
06/10/2023 14:28:07,Loan Repayment,MMS Developments Ltd – Drawdown 6,£140.05,£312.02,,,06/10/2023
06/10/2023 14:28:07,Loan Repayment Interest,MMS Developments Ltd – Drawdown 6,£8.87,£171.97,,,06/10/2023
10/10/2023 08:25:13,Auction completion,Christie Hurst Road Limited - Drawdown 5,-£100.00,£210.99,,,10/10/2023
16/10/2023 16:46:36,Auction completion,Newfoundland Court Ltd – Drawdown 1,-£150.00,£60.99,,,16/10/2023
27/10/2023 16:04:46,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.04,£68.71,,,27/10/2023
27/10/2023 16:04:46,Loan Repayment,Skylark Build Ltd - Drawdown 9,£7.36,£68.75,,,27/10/2023
27/10/2023 16:04:46,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.40,£61.39,,,27/10/2023
27/10/2023 16:19:18,Loan Repayment,Skylark Build Ltd - Drawdown 17,£4.91,£73.69,,,27/10/2023
27/10/2023 16:19:18,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.07,£68.78,,,27/10/2023
31/10/2023 11:52:18,I and F fee,Wren Homes and Developments Ltd – Drawdown 3,-£1.94,£338.62,,,31/10/2023
31/10/2023 11:52:18,Loan Repayment,Wren Homes and Developments Ltd – Drawdown 3,£250.00,£340.56,,,31/10/2023
31/10/2023 11:52:18,Loan Repayment Interest,Wren Homes and Developments Ltd – Drawdown 3,£16.87,£90.56,,,31/10/2023
31/10/2023 14:31:56,I and F fee,Wold Top Developments Limited - Drawdown 4,-£0.47,£399.02,,,31/10/2023
31/10/2023 14:31:56,Loan Repayment,Wold Top Developments Limited - Drawdown 4,£56.74,£399.49,,,31/10/2023
31/10/2023 14:31:56,Loan Repayment Interest,Wold Top Developments Limited - Drawdown 4,£4.13,£342.75,,,31/10/2023
07/11/2023 11:20:57,Auction completion,SC Surbiton Limited (1) – Drawdown 10,-£100.00,£299.02,,,07/11/2023
09/11/2023 15:03:00,Auction completion,Nash Properties Ltd - Drawdown 3,-£100.00,£199.02,,,09/11/2023
10/11/2023 11:39:59,I and F fee,Aspire Designer Homes (Medway) Ltd – Drawdown 4,-£0.35,£245.64,,,10/11/2023
10/11/2023 11:39:59,Loan Repayment,Aspire Designer Homes (Medway) Ltd – Drawdown 4,£43.75,£245.99,,,10/11/2023
10/11/2023 11:39:59,Loan Repayment Interest,Aspire Designer Homes (Medway) Ltd – Drawdown 4,£3.22,£202.24,,,10/11/2023
13/11/2023 13:19:31,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.06,£256.64,,,13/11/2023
13/11/2023 13:19:31,Loan Repayment,Skylark Build Ltd - Drawdown 9,£10.46,£256.70,,,13/11/2023
13/11/2023 13:19:31,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.60,£246.24,,,13/11/2023
13/11/2023 13:32:56,I and F fee,Skylark Build Ltd - Drawdown 17,-£0.01,£263.72,,,13/11/2023
13/11/2023 13:32:56,Loan Repayment,Skylark Build Ltd - Drawdown 17,£6.97,£263.73,,,13/11/2023
13/11/2023 13:32:56,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.12,£256.76,,,13/11/2023
17/11/2023 16:38:53,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.04,£271.07,,,17/11/2023
17/11/2023 16:38:53,Loan Repayment,Skylark Build Ltd - Drawdown 9,£6.98,£271.11,,,17/11/2023
17/11/2023 16:38:53,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.41,£264.13,,,17/11/2023
17/11/2023 16:52:10,Loan Repayment,Skylark Build Ltd - Drawdown 17,£4.65,£275.81,,,17/11/2023
17/11/2023 16:52:10,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.09,£271.16,,,17/11/2023
20/11/2023 16:54:17,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.04,£283.41,,,20/11/2023
20/11/2023 16:54:17,Loan Repayment,Skylark Build Ltd - Drawdown 9,£7.21,£283.45,,,20/11/2023
20/11/2023 16:54:17,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.43,£276.24,,,20/11/2023
20/11/2023 17:16:12,I and F fee,Skylark Build Ltd - Drawdown 17,-£0.01,£288.31,,,20/11/2023
20/11/2023 17:16:12,Loan Repayment,Skylark Build Ltd - Drawdown 17,£4.81,£288.32,,,20/11/2023
20/11/2023 17:16:12,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.10,£283.51,,,20/11/2023
21/11/2023 15:14:13,I and F fee,SNV Construction Limited (2) – Drawdown 1,-£0.14,£335.18,,,21/11/2023
21/11/2023 15:14:13,Loan Repayment,SNV Construction Limited (2) – Drawdown 1,£45.54,£335.32,,,21/11/2023
21/11/2023 15:14:13,Loan Repayment Interest,SNV Construction Limited (2) – Drawdown 1,£1.47,£289.78,,,21/11/2023
22/11/2023 10:17:02,I and F fee,Gallypot Woods Development Limited - Drawdown 6,-£0.63,£417.09,,,22/11/2023
22/11/2023 10:17:02,Loan Repayment,Gallypot Woods Development Limited - Drawdown 6,£76.51,£417.72,,,22/11/2023
22/11/2023 10:17:02,Loan Repayment Interest,Gallypot Woods Development Limited - Drawdown 6,£6.03,£341.21,,,22/11/2023
27/11/2023 16:43:03,I and F fee,Gallypot Woods Development Limited - Drawdown 6,-£0.60,£493.23,,,27/11/2023
27/11/2023 16:43:03,Loan Repayment,Gallypot Woods Development Limited - Drawdown 6,£71.05,£493.83,,,27/11/2023
27/11/2023 16:43:03,Loan Repayment Interest,Gallypot Woods Development Limited - Drawdown 6,£5.69,£422.78,,,27/11/2023
28/11/2023 10:14:24,Auction completion,Skylark Build Ltd (2) – Tranche B - Drawdown 5,-£100.00,£393.23,,,28/11/2023
28/11/2023 15:03:29,Auction completion,The Old Grain Store (Maidstone) Limited (2) – Drawdown 1,-£250.00,£143.23,,,28/11/2023
28/11/2023 16:51:03,I and F fee,The Old Grain Store (Maidstone) Limited – Drawdown 4,-£0.91,£250.72,,,28/11/2023
28/11/2023 16:51:03,Loan Repayment,The Old Grain Store (Maidstone) Limited – Drawdown 4,£100.00,£251.63,,,28/11/2023
28/11/2023 16:51:03,Loan Repayment Interest,The Old Grain Store (Maidstone) Limited – Drawdown 4,£8.40,£151.63,,,28/11/2023
28/11/2023 16:54:44,I and F fee,The Old Grain Store (Maidstone) Limited – Drawdown 5,-£1.27,£411.10,,,28/11/2023
28/11/2023 16:54:44,Loan Repayment,The Old Grain Store (Maidstone) Limited – Drawdown 5,£150.00,£412.37,,,28/11/2023
28/11/2023 16:54:44,Loan Repayment Interest,The Old Grain Store (Maidstone) Limited – Drawdown 5,£11.65,£262.37,,,28/11/2023
29/11/2023 12:14:24,Auction completion,Berriman Developers Limited – Drawdown 3,-£100.00,£311.10,,,29/11/2023
30/11/2023 15:38:09,I and F fee,SC Surbiton Limited (1) – Drawdown 10,-£0.04,£411.51,,,30/11/2023
30/11/2023 15:38:09,Loan Repayment,SC Surbiton Limited (1) – Drawdown 10,£100.00,£411.55,,,30/11/2023
