platform_account_name,trx_date,trx_desc,trx_type,trx_amt
Invest & Fund,2024-06-28 12:40:08,Alpine Homes Fruit Market Ltd (3) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2024-06-28 09:54:53,Ironstone Bridge Ltd – Drawdown 2,Auction completion,-100.0
Invest & Fund,2024-06-05 12:56:27,SC Surbiton Limited (3) – Drawdown 8 Ref: 381403,Loan part purchase,-8.23
Invest & Fund,2024-06-28 09:46:10,Alpine Homes Fruit Market Ltd (2) – Drawdown 15,I and F fee,-0.01
Invest & Fund,2024-06-28 09:46:10,Alpine Homes Fruit Market Ltd (2) – Drawdown 15,Loan Repayment,35.6
Invest & Fund,2024-06-28 09:46:10,Alpine Homes Fruit Market Ltd (2) – Drawdown 15,Loan Repayment Interest,0.17
Invest & Fund,2024-06-28 09:38:28,Alpine Homes Fruit Market Ltd (2) – Drawdown 11,I and F fee,-0.3
Invest & Fund,2024-06-28 09:38:28,Alpine Homes Fruit Market Ltd (2) – Drawdown 11,Loan Repayment,100.0
Invest & Fund,2024-06-28 09:38:28,Alpine Homes Fruit Market Ltd (2) – Drawdown 11,Loan Repayment Interest,3.03
Invest & Fund,2024-06-27 14:49:36,SNV Construction Limited (4) – Drawdown 1,I and F fee,-0.03
Invest & Fund,2024-06-27 14:49:36,SNV Construction Limited (4) – Drawdown 1,Loan Repayment,12.66
Invest & Fund,2024-06-27 14:49:36,SNV Construction Limited (4) – Drawdown 1,Loan Repayment Interest,0.34
Invest & Fund,2024-06-27 13:29:27,Beaumaris Road Limited (3) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2024-06-27 08:39:16,Beaumaris Road Limited (2) – Drawdown 1,I and F fee,-1.19
Invest & Fund,2024-06-27 08:39:16,Beaumaris Road Limited (2) – Drawdown 1,Loan Repayment,200.0
Invest & Fund,2024-06-27 08:39:16,Beaumaris Road Limited (2) – Drawdown 1,Loan Repayment Interest,12.26
Invest & Fund,2024-06-24 11:22:24,Rainworth Developments 2021 Limited (3) – Drawdown 1,I and F fee,-1.58
Invest & Fund,2024-06-24 11:22:24,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment,194.58
Invest & Fund,2024-06-24 11:22:24,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment Interest,15.57
Invest & Fund,2024-06-12 15:18:34,Rainworth Developments 2021 Limited (3) – Drawdown 1,I and F fee,-0.01
Invest & Fund,2024-06-12 15:18:34,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment,1.76
Invest & Fund,2024-06-12 15:18:34,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment Interest,0.14
Invest & Fund,2024-06-06 12:50:09,J. C. Securities Limited (2) – Drawdown 4,Auction completion,-100.0
Invest & Fund,2024-06-05 12:49:47,Alpine Homes Fruit Market Ltd (2) – Drawdown 15 Ref: 380455,Purchased interest,-0.04
Invest & Fund,2024-06-05 12:49:46,Alpine Homes Fruit Market Ltd (2) – Drawdown 15 Ref: 380455,Loan part purchase,-35.6
Invest & Fund,2024-06-05 12:42:44,NRP Diggle Ltd (5) – Drawdown 1 Ref: 379499,Purchased interest,-0.05
Invest & Fund,2024-06-05 12:42:43,NRP Diggle Ltd (5) – Drawdown 1 Ref: 379499,Loan part purchase,-4.17
Invest & Fund,2024-06-05 12:29:06,Witley Homes (Portway) Limited (2) – Drawdown 10 Ref: 378583,Purchased interest,-0.01
Invest & Fund,2024-06-05 12:29:06,Witley Homes (Portway) Limited (2) – Drawdown 10 Ref: 378583,Loan part purchase,-11.13
Invest & Fund,2024-06-05 09:50:55,Skylark Build Ltd (2) – Tranche B - Drawdown 11 Ref: 377535,Purchased interest,-0.01
Invest & Fund,2024-06-05 09:50:55,Skylark Build Ltd (2) – Tranche B - Drawdown 11 Ref: 377535,Loan part purchase,-10.96
Invest & Fund,2024-06-28 09:46:10,Alpine Homes Fruit Market Ltd (2) – Drawdown 15 Ref: 387945,Repayment of Purchased Interest,0.04
Invest & Fund,2024-06-04 13:12:01,The Old Grain Store (Maidstone) Limited (3) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2024-06-04 09:21:38,The Old Grain Store (Maidstone) Limited (2) – Drawdown 1,I and F fee,-1.01
Invest & Fund,2024-06-04 09:21:38,The Old Grain Store (Maidstone) Limited (2) – Drawdown 1,Loan Repayment,250.0
Invest & Fund,2024-06-04 09:21:38,The Old Grain Store (Maidstone) Limited (2) – Drawdown 1,Loan Repayment Interest,10.47
Invest & Fund,2024-05-31 15:57:10,Berriman Developers Limited – Drawdown 3,I and F fee,-0.37
Invest & Fund,2024-05-31 15:57:10,Berriman Developers Limited – Drawdown 3,Loan Repayment,95.92
Invest & Fund,2024-05-31 15:57:10,Berriman Developers Limited – Drawdown 3,Loan Repayment Interest,3.79
Invest & Fund,2024-05-22 15:13:12,Skylark Build Ltd - Drawdown 17,I and F fee,-0.05
Invest & Fund,2024-05-22 15:13:12,Skylark Build Ltd - Drawdown 17,Loan Repayment,9.11
Invest & Fund,2024-05-22 15:13:12,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.51
Invest & Fund,2024-05-21 15:17:50,Skylark Build Ltd - Drawdown 9,I and F fee,-0.15
Invest & Fund,2024-05-21 15:17:50,Skylark Build Ltd - Drawdown 9,Loan Repayment,13.66
Invest & Fund,2024-05-21 15:17:50,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,1.32
Invest & Fund,2024-05-01 11:24:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,I and F fee,-0.01
Invest & Fund,2024-05-01 11:24:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment,1.79
Invest & Fund,2024-05-01 11:24:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment Interest,0.12
Invest & Fund,2024-04-26 13:33:44,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.08
Invest & Fund,2024-04-26 13:33:44,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,32.02
Invest & Fund,2024-04-26 13:33:44,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,0.9
Invest & Fund,2024-04-25 17:15:49,Skylark Build Ltd - Drawdown 17,I and F fee,-0.02
Invest & Fund,2024-04-25 17:15:49,Skylark Build Ltd - Drawdown 17,Loan Repayment,4.82
Invest & Fund,2024-04-25 17:15:49,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.24
Invest & Fund,2024-04-24 15:12:15,Skylark Build Ltd - Drawdown 9,I and F fee,-0.07
Invest & Fund,2024-04-24 15:12:15,Skylark Build Ltd - Drawdown 9,Loan Repayment,7.23
Invest & Fund,2024-04-24 15:12:15,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.66
Invest & Fund,2024-04-05 11:19:25,NRP Diggle Ltd (5) – Drawdown 1,Auction completion,-200.0
Invest & Fund,2024-04-05 09:03:37,NRP Diggle Ltd (3) – Drawdown 1,I and F fee,-0.68
Invest & Fund,2024-04-05 09:03:37,NRP Diggle Ltd (3) – Drawdown 1,Loan Repayment,150.0
Invest & Fund,2024-04-05 09:03:37,NRP Diggle Ltd (3) – Drawdown 1,Loan Repayment Interest,7.03
Invest & Fund,2024-03-28 09:45:19,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.11
Invest & Fund,2024-03-28 09:45:19,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,54.42
Invest & Fund,2024-03-28 09:45:19,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,1.16
Invest & Fund,2024-03-22 16:24:04,SNV Construction Limited (4) – Drawdown 1,Loan Repayment,14.4
Invest & Fund,2024-03-22 16:24:04,SNV Construction Limited (4) – Drawdown 1,Loan Repayment Interest,0.09
Invest & Fund,2024-03-22 13:33:39,Tredown Barns Developments Limited (3) – Drawdown 1,Auction completion,-100.0
Invest & Fund,2024-03-21 12:18:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,I and F fee,-0.01
Invest & Fund,2024-03-21 12:18:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment,1.87
Invest & Fund,2024-03-21 12:18:56,Rainworth Developments 2021 Limited (3) – Drawdown 1,Loan Repayment Interest,0.11
Invest & Fund,2024-03-18 16:14:48,SNV Construction Limited (4) – Drawdown 1,Loan Repayment,13.43
Invest & Fund,2024-03-18 16:14:48,SNV Construction Limited (4) – Drawdown 1,Loan Repayment Interest,0.06
Invest & Fund,2024-03-08 09:02:00,Alpine Homes Peterkins Limited – Drawdown 8,Auction completion,-100.0
Invest & Fund,2024-03-04 11:52:49,Airshack Projects 359 Limited (2) – Drawdown 1,I and F fee,-0.04
Invest & Fund,2024-03-04 11:52:49,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment,9.41
Invest & Fund,2024-03-04 11:52:49,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment Interest,0.45
Invest & Fund,2024-03-01 11:49:55,Airshack Projects 359 Limited (2) – Drawdown 1,I and F fee,-0.43
Invest & Fund,2024-03-01 11:49:55,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment,90.59
Invest & Fund,2024-03-01 11:49:55,Airshack Projects 359 Limited (2) – Drawdown 1,Loan Repayment Interest,4.3
Invest & Fund,2024-02-28 12:18:02,Witley Homes (Portway) Limited (2) – Drawdown 7,Auction completion,-100.0
Invest & Fund,2024-02-23 12:28:43,Hawfinch Homes Limited – Drawdown 8,I and F fee,-0.24
Invest & Fund,2024-02-23 12:28:43,Hawfinch Homes Limited – Drawdown 8,Loan Repayment,40.87
Invest & Fund,2024-02-23 12:28:43,Hawfinch Homes Limited – Drawdown 8,Loan Repayment Interest,2.23
Invest & Fund,2024-02-22 16:38:41,SNV Construction Limited (4) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2024-02-22 10:19:54,SNV Construction Limited (2) – Drawdown 1,I and F fee,-1.08
Invest & Fund,2024-02-22 10:19:54,SNV Construction Limited (2) – Drawdown 1,Loan Repayment,204.46
Invest & Fund,2024-02-22 10:19:54,SNV Construction Limited (2) – Drawdown 1,Loan Repayment Interest,10.84
Invest & Fund,2024-02-21 11:04:46,Wold Top Developments Limited (2) - Drawdown 1,I and F fee,-0.15
Invest & Fund,2024-02-21 11:04:46,Wold Top Developments Limited (2) - Drawdown 1,Loan Repayment,115.34
Invest & Fund,2024-02-21 11:04:46,Wold Top Developments Limited (2) - Drawdown 1,Loan Repayment Interest,1.56
Invest & Fund,2024-02-16 15:22:57,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.06
Invest & Fund,2024-02-16 15:22:57,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,54.31
Invest & Fund,2024-02-16 15:22:57,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,0.68
Invest & Fund,2024-02-14 09:15:19,Nash Properties Ltd - Drawdown 5,Auction completion,-100.0
Invest & Fund,2024-02-05 12:26:00,Alpine Homes Fruit Market Ltd (2) – Drawdown 11,Auction completion,-100.0
Invest & Fund,2024-02-02 14:11:00,Witley Homes (Portway) Limited (2) – Drawdown 6,Auction completion,-100.0
Invest & Fund,2024-01-09 16:14:01,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,I and F fee,-0.02
Invest & Fund,2024-01-09 16:14:01,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment,59.25
Invest & Fund,2024-01-09 16:14:01,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Loan Repayment Interest,0.25
Invest & Fund,2023-12-21 17:50:22,Skylark Build Ltd - Drawdown 17,I and F fee,-0.02
Invest & Fund,2023-12-21 17:50:22,Skylark Build Ltd - Drawdown 17,Loan Repayment,7.33
Invest & Fund,2023-12-21 17:50:22,Skylark Build Ltd - Drawdown 17,Loan Repayment Interest,0.19
Invest & Fund,2023-12-21 17:25:15,Skylark Build Ltd - Drawdown 9,I and F fee,-0.08
Invest & Fund,2023-12-21 17:25:15,Skylark Build Ltd - Drawdown 9,Loan Repayment,10.99
Invest & Fund,2023-12-21 17:25:15,Skylark Build Ltd - Drawdown 9,Loan Repayment Interest,0.72
Invest & Fund,2023-12-21 14:09:32,Aspire Designer Homes (Medway) Ltd – Drawdown 4,I and F fee,-1.42
Invest & Fund,2023-12-21 14:09:32,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Loan Repayment,154.65
Invest & Fund,2023-12-21 14:09:32,Aspire Designer Homes (Medway) Ltd – Drawdown 4,Loan Repayment Interest,12.71
Invest & Fund,2023-12-21 13:00:03,Aspire Designer Homes (Medway) Ltd (2) – Drawdown 1,Auction completion,-200.0
Invest & Fund,2023-12-20 12:37:27,Wold Top Developments Limited (2) - Drawdown 1,Auction completion,-150.0
Invest & Fund,2023-12-20 11:42:01,Wold Top Developments Limited - Drawdown 4,I and F fee,-0.32
Invest & Fund,2023-12-20 11:42:01,Wold Top Developments Limited - Drawdown 4,Loan Repayment,33.34
Invest & Fund,2023-12-20 11:42:01,Wold Top Developments Limited - Drawdown 4,Loan Repayment Interest,2.77
Invest & Fund,2023-12-15 12:51:22,Hawfinch Homes Limited – Drawdown 8,I and F fee,-0.26
Invest & Fund,2023-12-15 12:51:22,Hawfinch Homes Limited – Drawdown 8,Loan Repayment,59.13
Invest & Fund,2023-12-15 12:51:22,Hawfinch Homes Limited – Drawdown 8,Loan Repayment Interest,2.42
Invest & Fund,2023-12-08 15:09:43,Gallypot Woods Development Limited - Drawdown 6,I and F fee,-0.45
Invest & Fund,2023-12-08 15:09:43,Gallypot Woods Development Limited - Drawdown 6,Loan Repayment,52.44
Invest & Fund,2023-12-08 15:09:43,Gallypot Woods Development Limited - Drawdown 6,Loan Repayment Interest,4.31
Invest & Fund,2023-11-30 17:53:25,SC Surbiton Limited (3) – Drawdown 1,Auction completion,-150.0
Invest & Fund,2023-11-30 15:38:09,SC Surbiton Limited (1) – Drawdown 10,I and F fee,-0.04
Invest & Fund,2023-11-30 15:38:09,SC Surbiton Limited (1) – Drawdown 10,Loan Repayment,100.0
Invest & Fund,2023-11-30 15:38:09,SC Surbiton Limited (1) – Drawdown 10,Loan Repayment Interest,0.45
Invest & Fund,2023-11-29 12:14:24,Berriman Developers Limited – Drawdown 3,Auction completion,-100.0
Invest & Fund,2023-11-28 16:54:44,The Old Grain Store (Maidstone) Limited – Drawdown 5,I and F fee,-1.27
Invest & Fund,2023-11-28 16:54:44,The Old Grain Store (Maidstone) Limited – Drawdown 5,Loan Repayment,150.0
Invest & Fund,2023-11-28 16:54:44,The Old Grain Store (Maidstone) Limited – Drawdown 5,Loan Repayment Interest,11.65
Invest & Fund,2023-11-28 16:51:03,The Old Grain Store (Maidstone) Limited – Drawdown 4,I and F fee,-0.91
Invest & Fund,2023-11-28 16:51:03,The Old Grain Store (Maidstone) Limited – Drawdown 4,Loan Repayment,100.0
Invest & Fund,2023-11-28 16:51:03,The Old Grain Store (Maidstone) Limited – Drawdown 4,Loan Repayment Interest,8.4
Invest & Fund,2023-11-28 15:03:29,The Old Grain Store (Maidstone) Limited (2) – Drawdown 1,Auction completion,-250.0
Invest & Fund,2023-11-28 10:14:24,Skylark Build Ltd (2) – Tranche B - Drawdown 5,Auction completion,-100.0
Invest & Fund,2023-11-27 16:43:03,Gallypot Woods Development Limited - Drawdown 6,I and F fee,-0.6
Invest & Fund,2023-11-27 16:43:03,Gallypot Woods Development Limited - Drawdown 6,Loan Repayment,71.05
Invest & Fund,2023-11-27 16:43:03,Gallypot Woods Development Limited - Drawdown 6,Loan Repayment Interest,5.69
Invest & Fund,2023-11-22 10:17:02,Gallypot Woods Development Limited - Drawdown 6,I and F fee,-0.63
Invest & Fund,2023-11-22 10:17:02,Gallypot Woods Development Limited - Drawdown 6,Loan Repayment,76.51
Invest & Fund,2023-11-22 10:17:02,Gallypot Woods Development Limited - Drawdown 6,Loan Repayment Interest,6.03
Invest & Fund,2023-11-21 15:14:13,SNV Construction Limited (2) – Drawdown 1,I and F fee,-0.14
Invest & Fund,2023-11-21 15:14:13,SNV Construction Limited (2) – Drawdown 1,Loan Repayment,45.54
Invest & Fund,2023-11-21 15:14:13,SNV Construction Limited (2) – Drawdown 1,Loan Repayment Interest,1.47
Invest & Fund,2023-11-20 17:16:12,Skylark Build Ltd - Drawdown 17,I and F fee,-0.01
